Predicted Value,Price
1284239.6666666667,1108000.0
632702.5014285715,852000.0
494027.26647619065,368000.0
523835.7412698413,822000.0
893758.5283431652,842000.0
1241890.0571428568,1116000.0
818834.1757167196,863000.0
1427272.5,1460000.0
822638.0,870000.0
661713.069047619,600000.0
829315.2685961097,1115000.0
835892.559469697,808000.0
2559796.285714286,2500000.0
873567.1466546546,1000000.0
1113161.0,1160000.0
1651838.9480519479,1900000.0
707829.5940918821,535000.0
323389.23273333337,300000.0
363286.0952380952,350000.0
636870.2482962215,607000.0
1999933.5238095238,1545000.0
649572.4904761905,577500.0
2103646.0,2350000.0
2261718.0671916734,1760000.0
1085226.911111111,1222000.0
748152.0,821000.0
1430134.1666666667,1440000.0
1025989.0,850000.0
1226399.0,1185000.0
655126.7784497783,741000.0
1379361.7142857143,1360000.0
813750.8,840000.0
2092808.9976190473,1450000.0
1999152.5,1270000.0
983252.1828224704,742000.0
503683.65932539693,550000.0
813031.1166666666,895000.0
1287141.0,2350000.0
325085.7,350000.0
1098194.75,810000.0
2402861.0,2790000.0
467455.5,635000.0
1245193.2619769117,1206000.0
1000344.0,1300000.0
872332.992063492,630000.0
423950.0,426000.0
714631.40251443,718000.0
665880.286935287,755000.0
891857.5833333333,750000.0
697279.565755856,737000.0
1296940.0000000002,1275000.0
955260.1651333229,988000.0
1393573.9181361408,1380000.0
322620.3333333333,330000.0
694056.8,838000.0
654838.0206349205,588000.0
1389985.776833553,1370000.0
1231941.3333333333,1125000.0
1948044.342,1410000.0
793906.2698412699,825000.0
1285782.0,1275000.0
690662.272,637500.0
1579907.6666666667,1720000.0
778551.0344290744,680000.0
696074.2302852665,450000.0
754895.1554554316,767500.0
461487.78598449123,681000.0
2202913.5,2180000.0
924837.776,822000.0
746932.3410571883,920000.0
950007.0021645018,700000.0
977386.998,860000.0
1090743.2513333336,850000.0
1034126.142857143,905000.0
653503.8761516261,631500.0
1250819.5384711782,940000.0
1109886.965662833,465000.0
660814.8288648648,720000.0
858581.5976190476,840000.0
1009080.1000000001,914888.0
1267363.5333333332,1550000.0
543891.9252991452,860000.0
763244.6134920636,550000.0
927737.2835088072,600000.0
343057.75,310000.0
543695.9234126987,586000.0
1213227.0,1550000.0
1192103.0,1392000.0
3075238.0,3210000.0
1984169.6666666665,2000000.0
427875.61428571417,355000.0
1331968.8265800867,1385000.0
610295.7811434676,705000.0
937500.552,645000.0
1053032.380952381,830000.0
1219197.6732123434,1200000.0
935885.065079365,950000.0
381344.2,280500.0
748735.9976190476,630000.0
1431956.2,1777000.0
2863547.714285714,3120000.0
920418.0916061501,947500.0
412742.3952380953,415000.0
1828130.0,1500000.0
431446.2464761905,455000.0
1324953.716,1440000.0
977243.5404761904,1200000.0
1170271.4134199133,1475000.0
593943.4357936505,598000.0
382439.32817737816,250000.0
495709.0833333334,533000.0
1111616.8666666667,625000.0
1142810.811111111,1035000.0
823482.9873015871,692000.0
842011.766,792000.0
845661.0,880000.0
755045.5969677375,750000.0
1407775.6817022848,1360000.0
695716.1872093034,725000.0
959441.8333333334,1170000.0
841451.2052380953,885000.0
1108380.8,1200000.0
927864.7666666667,800000.0
1099987.0,850000.0
1142457.563095238,1060000.0
1428389.822222222,910000.0
601524.9273333334,680000.0
1813515.3181818184,1875000.0
1182249.5,780000.0
364052.2666666666,350000.0
1069510.6506069093,1215000.0
597834.873836627,490500.0
1546770.142857143,1800000.0
904497.8066666668,560000.0
621700.2058330558,470500.0
927002.684,859000.0
1151406.015873016,1260000.0
462003.80438095244,570000.0
551704.2666666667,460000.0
1172636.9230769232,950000.0
1102722.631746032,950000.0
1987055.0327052611,2285000.0
750844.6,898500.0
1542532.119047619,1450000.0
770821.5040311922,746000.0
1165644.238095238,815000.0
530869.3599511599,550000.0
1982285.0,1100000.0
1152566.6904761905,1200000.0
2003470.0,2310000.0
2623584.8571428573,2500000.0
1176810.2976190476,1760000.0
593655.8047619049,752000.0
3659514.109333333,3750000.0
1432387.2777777778,1782500.0
666792.6,664000.0
420327.09285714285,360500.0
936363.5722222222,981000.0
1354751.438095238,1190000.0
1340879.682122779,1320000.0
716156.0166666667,670500.0
715815.9214285715,795000.0
1843196.761403509,1505000.0
857072.15,746000.0
663697.5576666667,780000.0
1380257.6666666667,1300000.0
1149446.18,1430000.0
841668.3486138862,1200000.0
741636.4771798026,640000.0
816134.3268009769,700000.0
471290.6404761904,400000.0
1107564.4020952382,990000.0
1543329.5,1667000.0
928587.786,1090000.0
706346.1288650794,671000.0
519877.3085714285,495000.0
423097.26428571425,471000.0
1579349.3333333333,1200000.0
2721487.5,3270000.0
739164.3377192982,805000.0
2128284.428571428,2100000.0
1539537.0,1125000.0
1154119.5099698987,1450000.0
1761431.3976190477,1490000.0
1216478.6686666668,1275000.0
3814698.0,2810000.0
898174.0976190472,750000.0
882549.6,1000000.0
596333.6932178932,468250.0
414540.2166666669,400000.0
1104645.4,1323000.0
727666.54,686000.0
798750.2927999999,790000.0
456543.0,355000.0
610635.1485569988,655000.0
2164382.0,2325000.0
974569.6,896000.0
1476889.7259926738,2300000.0
1008246.0,955000.0
495800.1848252104,440000.0
674347.4252983858,655000.0
1804173.5975816993,1620000.0
2753454.0,3100000.0
368275.0,390000.0
535666.3374603175,735000.0
1759306.0119047624,1700000.0
914765.74,750000.0
564578.3774114774,512000.0
1117075.5,1100000.0
620651.0,525000.0
830273.0959957553,637000.0
587240.4882575758,525000.0
783859.5354336824,745000.0
969561.1666666667,1000000.0
1379779.4,1420000.0
728661.0,830000.0
1372152.2380952379,1100000.0
754233.059920635,727000.0
754532.8404761903,620000.0
792612.1666666666,725000.0
1030051.0919999998,1048000.0
437968.93333333335,405000.0
738734.8769230769,817000.0
1020957.0,860000.0
1064938.0,887000.0
908954.0,1005000.0
599624.1813333334,520000.0
971221.6586666667,910000.0
814984.1111111111,665000.0
900735.2298850575,760000.0
759596.8,661000.0
643659.6407351757,515000.0
902119.076459964,815000.0
1299772.857142857,1000000.0
1320178.0,1620000.0
617930.7186147184,575000.0
1050420.8,1251000.0
892012.7027619047,930000.0
927196.3126153846,9000000.0
601693.5997630637,665000.0
731752.3666666667,700000.0
842638.6108172708,820000.0
1256932.6,1400000.0
2039045.333333333,1900000.0
701337.7083333333,650000.0
2095841.0,2010000.0
1150324.033176083,1130000.0
540293.9329365081,463500.0
869940.4920634923,985000.0
902729.266,905000.0
489188.0675070545,425000.0
1303225.875,1325000.0
718359.2893736266,725000.0
1486776.454761905,1500000.0
482865.73333333334,591000.0
616707.7179761904,542000.0
1229641.5303030303,1035000.0
1027511.857142857,730000.0
978242.3836190476,790000.0
1356218.0,1250000.0
491359.89999999997,510000.0
