Predicted Value,Price
1019075.9976190474,1312500.0
620349.7343073593,547500.0
718875.7045395954,767000.0
522101.1314285714,540000.0
777646.566,822000.0
822680.6846666667,777000.0
701703.9666666668,980000.0
1295160.8607809525,1310000.0
496108.23380952387,530000.0
524740.1666666666,455000.0
794617.5,692000.0
928498.0714285712,1120000.0
668457.7,760000.0
954150.4,550000.0
799957.3321806839,900000.0
962874.2142857143,865000.0
1406957.9666666668,1360000.0
1985518.7761904763,2175000.0
1017116.808333333,620000.0
1025520.2000000001,800000.0
529053.7666666666,522500.0
544084.25,418000.0
1293036.4444444443,2250000.0
763135.619047619,770000.0
255442.13333333333,260000.0
723592.0,614000.0
556884.8404295327,595000.0
958005.8857142858,1000000.0
1036583.336,955000.0
721257.8787878787,740000.0
409902.13571428566,421500.0
409797.3097922078,440000.0
618403.04,620000.0
1884152.5000000002,1900000.0
1063941.0666666667,900000.0
935223.632,925000.0
564374.2627583528,580000.0
1239536.0,1130000.0
827169.5569523809,770000.0
1028657.3681485497,1126000.0
418067.6302666667,482500.0
1154267.0976190476,1440000.0
888890.1,935000.0
1461285.238095238,1300000.0
580651.6777056276,658000.0
1110972.02,1260000.0
1007605.1395382395,885000.0
774637.0777777778,721000.0
1576586.4,1467000.0
742849.5087301587,755000.0
1081822.0,1010000.0
854796.3865943839,723000.0
705026.5,885000.0
742261.2666666666,637000.0
1954288.8,2355000.0
1844154.1349206355,1300000.0
2322834.9722222225,2690000.0
1156158.4013142858,1640000.0
669362.4186666667,600800.0
730649.7066666668,740000.0
541651.7500000002,505000.0
1094758.4136095229,1060000.0
449369.27839937835,433000.0
663622.4523809524,620000.0
3021813.0,3520000.0
994004.1,991888.0
1791728.0,1900000.0
991558.3980804288,820000.0
1667781.988095238,1620000.0
464327.36556700926,550000.0
618924.4261111111,555000.0
537352.7785714287,500000.0
1137749.74,1430000.0
1535388.0,1400000.0
318097.00000000006,370000.0
624093.543883894,701000.0
684460.1283549784,712000.0
1414922.3496819607,1483000.0
1024285.3333333333,1320000.0
888513.9444444444,882000.0
1055292.0303030303,827500.0
855652.0880000001,1074000.0
1160401.0,1380000.0
399194.1857142857,477500.0
1000260.0,908000.0
1561308.7873015874,1602500.0
3037018.6666666665,2600000.0
2310840.0,2875000.0
1037552.4,1025000.0
2057096.738705739,2020000.0
782635.5,770000.0
2969096.0,2850000.0
1328478.5,1182000.0
1576607.3095238097,1635000.0
563677.0683261182,1100000.0
1231526.0476190476,1324000.0
948173.2349329205,887500.0
1511924.1716791978,1550000.0
593843.1193473197,550000.0
758879.2235347986,710000.0
768267.9729611494,1022000.0
692535.8347692308,740000.0
1753571.7,1030000.0
1033953.6666666667,1020000.0
881659.4487178075,810000.0
501578.8208333335,545000.0
2158574.119047619,1951000.0
809391.6047619047,845000.0
1043924.0833333334,1110000.0
693064.8666666667,550000.0
1168586.5,1155000.0
1035909.4705079366,1102500.0
532513.2866666667,525000.0
968464.8586666667,1001000.0
959726.8000000002,900000.0
1156501.4,1330000.0
2665866.5,2680000.0
1494759.0333333332,1900000.0
797284.5714285715,1016000.0
1080541.0,970000.0
2012669.0,2050000.0
2874828.0,3295888.0
544385.0357142856,599000.0
862823.7106421355,850000.0
962575.6666666667,835000.0
747049.3946666667,830000.0
1067788.2,1135000.0
1325798.5333333332,1102000.0
947830.1258723809,1040000.0
1164761.5339105339,1115000.0
734345.2293333332,860000.0
4495566.0,4500000.0
460607.8,510000.0
727973.8873333334,640000.0
2094550.9333333338,2365000.0
1449188.8161743104,1430000.0
1061049.0919606988,1218500.0
896661.5714285716,900000.0
1327691.6247121007,1205000.0
1520427.0,1700000.0
972899.932,975000.0
498346.04285714286,468000.0
1316374.3,1255000.0
432062.98809523816,451000.0
1000629.9088633591,1000000.0
604731.7725108224,615000.0
671853.8277777777,598000.0
654738.855049261,625000.0
3287530.0,4250000.0
405374.80706666666,421000.0
918618.5142857142,850000.0
665636.198,730000.0
1039700.25,990000.0
676173.8296774738,660000.0
690625.9666666668,730000.0
1204175.4166666667,740000.0
701722.8666666666,730000.0
484200.0,330000.0
781482.8,655000.0
678054.683106002,920000.0
1712541.5999999999,1240000.0
601242.4761904762,599000.0
986496.382,822000.0
698088.4,702000.0
1271824.3,1340000.0
411851.6666666667,285000.0
878947.542,825000.0
1177501.0,865000.0
2045850.405111555,1903000.0
1026604.4906666668,920000.0
744250.2669194838,600000.0
822195.5238095237,960000.0
1167574.6862745099,1455000.0
554847.9785714287,565000.0
1532582.1666666665,1500000.0
666310.0782119065,595000.0
1068601.5444444444,1138000.0
657652.2979361116,530000.0
1451023.6666666665,1440000.0
1099541.0047619047,662500.0
1346318.4857142854,1005000.0
579754.3,630000.0
2084430.602,1650000.0
791983.6238095232,735000.0
618402.9773333332,631000.0
1101512.152,900000.0
985015.9555555555,847000.0
792831.6855238094,650000.0
580701.2901904763,450000.0
1175680.0111111111,631000.0
1497653.0,1225000.0
1091934.0873015875,855000.0
1267658.4954498555,1100000.0
1860200.0,1700000.0
1026355.108,765000.0
1596777.0,1600000.0
1148806.016,1045000.0
641221.9,675500.0
477288.04009523813,610000.0
934726.1086666667,800000.0
626275.7405442989,682000.0
1558322.0873275609,1385000.0
872371.1666666667,1070000.0
1340104.0,1436000.0
1805057.4261904762,2300000.0
1736380.1093333336,1775000.0
467439.9600000001,330000.0
758750.7,756000.0
923013.744190476,820000.0
1035401.5201298699,1110000.0
785408.7285714287,762000.0
1216626.3333333335,1260000.0
676263.4298701297,612000.0
477288.04009523813,597000.0
1261050.5079280366,1140000.0
414768.64880952385,400000.0
1535822.0235266194,1560000.0
3127912.7025752035,3900000.0
643928.4424761903,605000.0
922509.957142857,1542000.0
1311965.431738437,1200000.0
491302.90409678046,420000.0
739836.0009523811,1016000.0
1169531.0742063492,1210000.0
556739.0,550000.0
1885881.0,1800000.0
1558618.1666666665,1450000.0
3292388.0,2260000.0
1481691.6232528053,1575000.0
1354187.9646825397,1335000.0
