FileName,Date,Post
15365.female.34.indUnk.Cancer.xml,"12,May,2004","{'you', 'from', 'for', 'if', 'the', 'and', 'here', 'under', 'when', 'or', 'can', 'been', 'too', 'was', 'as', 'what', 'are', 'again', 'then', 'more', 'which', 'so', 'same', 'out', 'at', 'because', 'will', 'most', 'be', 'has', 'such', 'a', 'some', 'now', 'of', 'to', 'any', 'where', 'up', 'that', 'our', 'its', 'by', 'with', 'this', 'is', 'in', 'each', 'have', 'who', 'no', 'other', 'about', 'an', 'than', 'just', 'it'}"
15365.female.34.indUnk.Cancer.xml,"11,May,2004","{'i', 'from', 'for', 'the', 'and', 'being', 'was', 'only', 'on', 'has', 'such', 'a', 'his', 'after', 'to', 'all', 'do', 'with', 'that', 'by', 'this', 'he', 'is', 'in'}"
15365.female.34.indUnk.Cancer.xml,"11,May,2004","{'in', 'has', 'a', 'on', 'are', 'only', 'the', 'of', 'and', 'all', 'which', 'my', 'that', 'it'}"
15365.female.34.indUnk.Cancer.xml,"06,May,2004","{'we', 'if', 'the', 'and', 'between', 'been', 'doing', 'are', 'more', 'which', 'm', 'will', 'am', 'such', 'a', 'of', 'all', 'up', 'this', 'there', 'in', 'each', 'them', 'than', 'from', 'or', 're', 'does', 'did', 'as', 'out', 'same', 'at', 'most', 'be', 'has', 'after', 'to', 'where', 'with', 'by', 'have', 'no', 'an', 'both', 'their', 'you', 'i', 'while', 'her', 'own', 'my', 'can', 'off', 'your', 'few', 'before', 'why', 'on', 'how', 'only', 'then', 'should', 'were', 'now', 'through', 'do', 'its', 'into', 'is', 'who', 'over', 'about', 'just', 'it', 'for', 'very', 'here', 'when', 'too', 'themselves', 'was', 'what', 'but', 'so', 'because', 'some', 'me', 'she', 'any', 'that', 'our', 'he', 'until', 'other', 'not', 'those', 'they'}"
15365.female.34.indUnk.Cancer.xml,"06,May,2004","{'we', 'if', 'the', 'and', 'been', 'are', 'more', 'which', 'such', 'a', 'of', 'all', 'up', 'this', 'there', 'in', 'them', 'from', 'under', 'or', 'did', 'as', 'out', 'same', 'him', 'at', 'be', 'has', 'after', 'to', 'where', 'with', 'by', 'have', 'no', 'an', 'both', 'their', 'you', 'i', 'down', 'my', 'can', 'had', 'off', 'your', 'few', 'why', 'before', 'how', 'on', 'then', 'these', 'should', 'his', 'were', 'now', 'through', 'do', 'its', 'into', 'is', 'who', 'over', 'about', 'just', 'it', 'for', 'here', 'when', 'was', 'what', 'but', 'so', 'because', 'me', 'some', 'she', 'below', 'any', 'that', 'our', 'he', 'not', 'those', 'they'}"
15365.female.34.indUnk.Cancer.xml,"06,May,2004","{'from', 'for', 'very', 'the', 'and', 'here', 'or', 'can', 'few', 'as', 'on', 'which', 'but', 'be', 'a', 'to', 'of', 'with', 'by', 'is', 'in', 'not', 'about', 'them', 'just'}"
15365.female.34.indUnk.Cancer.xml,"22,February,2001","{'you', 'i', 'from', 'for', 'her', 'the', 'and', 'here', 'my', 'been', 'too', 'was', 'on', 'are', 'again', 'more', 'but', 'so', 'same', 'out', 'at', 'be', 'has', 'after', 'a', 'were', 'me', 'she', 'to', 'of', 'now', 'all', 'with', 'that', 'by', 'this', 'there', 'is', 'in', 'have', 'who', 'not', 'over', 'it'}"
15365.female.34.indUnk.Cancer.xml,"31,October,2002","{'i', 'this', 'am', 'your', 'a', 'me', 'the', 'to', 'and', 'of', 'through', 'all', 'but', 'up', 'it'}"
15365.female.34.indUnk.Cancer.xml,"30,October,2002","{'against', 'into', 'i', 'this', 'my', 'am', 'a', 'for', 'down', 'me', 'and', 'out', 'can', 'when', 'or', 'up', 'with', 'it'}"
15365.female.34.indUnk.Cancer.xml,"30,October,2002","{'you', 'into', 'i', 'will', 'off', 'in', 'your', 'before', 'no', 'me', 'the', 'of', 'and', 'more', 'to', 'all', 'but', 'my'}"
15365.female.34.indUnk.Cancer.xml,"30,October,2002","{'you', 'i', 'from', 'for', 'the', 'and', 'my', 'or', 'does', 'against', 'off', 'your', 'too', 'before', 'what', 'on', 'are', 'again', 'more', 'but', 'so', 'same', 'because', 'will', 'these', 'am', 'a', 'me', 'to', 'of', 'up', 'that', 'by', 'there', 'is', 'in', 'have', 'no', 'over', 'not', 'those', 'an', 'it'}"
15365.female.34.indUnk.Cancer.xml,"30,October,2002","{'i', 'am', 'from', 'above', 'in', 'a', 'the', 'to', 'and', 'of', 'all', 'below', 'then', 'here', 'now', 'up', 'it'}"
15365.female.34.indUnk.Cancer.xml,"29,October,2002","{'you', 'i', 'this', 'is', 'from', 'a', 'how', 'the', 'to', 'and', 'through', 'of'}"
15365.female.34.indUnk.Cancer.xml,"28,October,2002","{'we', 'in', 'as', 'for', 'her', 'the', 'of', 'to', 'my'}"
15365.female.34.indUnk.Cancer.xml,"28,October,2002","{'my', 'you', 'i', 'this', 'be', 'off', 'in', 'your', 'from', 'am', 'there', 'are', 'the', 'to', 'and', 're', 'it'}"
15365.female.34.indUnk.Cancer.xml,"28,October,2002","{'i', 'from', 'the', 'and', 'my', 'off', 'was', 'but', 'out', 'these', 'am', 'after', 'a', 'of', 'to', 'all', 'where', 'that', 'is', 'in', 'their'}"
15365.female.34.indUnk.Cancer.xml,"27,October,2002","{'i', 'from', 'down', 'for', 'the', 'and', 'my', 'or', 'as', 'what', 'on', 'are', 'out', 'at', 'am', 'a', 'his', 'me', 'of', 'to', 'all', 'do', 'with', 'up', 'this', 'there', 'is', 'in', 'he', 'no', 'over', 'about', 'both', 'them'}"
15365.female.34.indUnk.Cancer.xml,"27,October,2002","{'you', 'i', 'off', 'in', 'them', 'for', 'do', 'not', 'me', 'the', 'of', 'and', 'all', 'so', 'at', 'my', 'just', 'up', 'it'}"
15365.female.34.indUnk.Cancer.xml,"25,October,2002","{'you', 'i', 'down', 'a', 'how', 'me', 'the', 'of', 'and', 'to', 'at', 'my', 'with'}"
15365.female.34.indUnk.Cancer.xml,"25,October,2002","{'we', 'you', 'i', 'myself', 'from', 'for', 'the', 'and', 'when', 'my', 'did', 'was', 'what', 'only', 'are', 'again', 'more', 'but', 'out', 'at', 'a', 'me', 'some', 'to', 'of', 'up', 'that', 'there', 'in', 'have', 'it'}"
15365.female.34.indUnk.Cancer.xml,"25,October,2002","{'i', 'off', 'in', 'am', 'was', 'at', 'as', 'on', 'only', 'were', 'me', 'the', 'of', 'and', 'now', 'to', 'when', 'my', 'with', 'it'}"
15365.female.34.indUnk.Cancer.xml,"25,October,2002","{'you', 'i', 'that', 'your', 'from', 'have', 'out', 'who', 'his', 'for', 'the', 'to', 'and', 'of', 'here', 'but', 'been', 'my', 'with', 'it'}"
15365.female.34.indUnk.Cancer.xml,"25,October,2002","{'will', 'by', 'i', 'this', 'you', 'am', 'in', 'your', 'a', 'own', 'if', 'the', 'to', 'and', 'at', 'my'}"
15365.female.34.indUnk.Cancer.xml,"25,October,2002","{'myself', 'i', 'is', 'while', 'in', 'a', 'for', 'on', 'not', 'the', 'to', 'and', 'now', 'but', 'my', 'just', 'that'}"
15365.female.34.indUnk.Cancer.xml,"25,October,2002","{'you', 'myself', 'i', 'off', 'in', 'while', 'have', 'what', 'a', 'not', 'own', 'the', 'to', 'and', 'of', 'an', 'my', 'do'}"
15365.female.34.indUnk.Cancer.xml,"25,October,2002","{'be', 'in', 'was', 'a', 'only', 'on', 'if', 'the', 'of', 'to', 'and', 'an', 'at', 'just', 'with', 'that', 'our'}"
15365.female.34.indUnk.Cancer.xml,"24,October,2002","{'we', 'too', 'in', 'down', 'on', 'the', 'to', 'out', 'our'}"
15365.female.34.indUnk.Cancer.xml,"23,October,2002","{'there', 'is', 'a', 'some', 'the', 'and', 'or', 'it'}"
15365.female.34.indUnk.Cancer.xml,"23,October,2002","{'being', 'in', 'at', 'of', 'to', 'more', 'out', 'than', 'during', 'with'}"
15365.female.34.indUnk.Cancer.xml,"23,October,2002","{'of', 'a', 'no'}"
